            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
3701,      26323654,       2893401,            12,     181164455,      12299961,            75,     382728462,      74968417,           185,     279479852,      38673683,           124
3702,      26337964,       2895005,            12,     181267777,      12306651,            73,     382948487,      75011571,           188,     279638864,      38695964,           141
3703,      26352277,       2896609,            12,     181371168,      12313311,            73,     383168587,      75054739,           188,     279797955,      38718276,           126
3704,      26366595,       2898214,            12,     181474503,      12319967,            73,     383388727,      75097913,           190,     279957073,      38740566,           141
3705,      26380916,       2899819,            14,     181577950,      12326622,           118,     383608918,      75141097,           260,     280116244,      38762865,           155
3706,      26395240,       2901424,            12,     181681320,      12333229,            77,     383829202,      75184301,           190,     280275486,      38785205,           134
3707,      26409567,       2903029,            13,     181784712,      12339794,            75,     384049548,      75227517,           192,     280434766,      38807543,           128
3708,      26423897,       2904634,            12,     181888216,      12346370,            72,     384269961,      75270745,           192,     280594130,      38829897,           128
3709,      26438230,       2906239,            13,     181991772,      12353019,            81,     384490412,      75313979,           191,     280753562,      38852283,           128
3710,      26452566,       2907844,            13,     182095140,      12359573,            73,     384710957,      75357234,           191,     280912969,      38874637,           129
3711,      26466905,       2909449,            12,     182198469,      12366119,            76,     384931573,      75400504,           196,     281072425,      38896996,           128
3712,      26481249,       2911055,            12,     182301763,      12372661,            74,     385152246,      75443784,           193,     281231942,      38919350,           129
3713,      26495596,       2912661,            13,     182405365,      12379333,            75,     385372987,      75487078,           192,     281391501,      38941709,           135
3714,      26509946,       2914267,            12,     182508843,      12385927,            74,     385593809,      75530391,           191,     281551134,      38964095,           129
3715,      26524299,       2915873,            13,     182612440,      12392564,            77,     385814649,      75573702,           192,     281710788,      38986464,           144
3716,      26538655,       2917479,            13,     182716003,      12399184,            79,     386035563,      75617030,           188,     281870522,      39008881,           123
3717,      26553016,       2919086,            12,     182819620,      12405835,            71,     386256557,      75660373,           183,     282030328,      39031320,           124
3718,      26567380,       2920693,            12,     182923397,      12412540,            71,     386477625,      75703731,           186,     282190090,      39053702,           124
3719,      26581747,       2922300,            11,     183027355,      12419305,            74,     386698728,      75747093,           183,     282349956,      39076129,           123
3720,      26596117,       2923907,            12,     183131297,      12426094,            73,     386919915,      75790473,           183,     282509870,      39098563,           131
3721,      26610490,       2925514,            12,     183235098,      12432756,            74,     387141166,      75833863,           186,     282669831,      39121009,           129
3722,      26624868,       2927122,            13,     183338911,      12439419,            74,     387362491,      75877270,           191,     282829850,      39143458,           131
3723,      26639255,       2928733,            12,     183442747,      12446083,            75,     387583874,      75920688,           195,     282989906,      39165925,           129
3724,      26653645,       2930344,            12,     183546708,      12452821,            75,     387805303,      75964114,           192,     283149981,      39188365,           131
3725,      26668038,       2931955,            12,     183650523,      12459434,            75,     388026796,      76007552,           195,     283310070,      39210791,           129
3726,      26682434,       2933566,            12,     183754320,      12466075,            74,     388248378,      76051010,           192,     283470234,      39233263,           130
3727,      26696833,       2935177,            12,     183858249,      12472719,            77,     388470010,      76094477,           191,     283630444,      39255735,           135
3728,      26711239,       2936790,            12,     183962222,      12479361,            75,     388691696,      76137954,           190,     283790727,      39278210,           127
3729,      26725648,       2938403,            12,     184066334,      12486077,            73,     388913435,      76181442,           184,     283951042,      39300683,           124
3730,      26740064,       2940018,            12,     184170299,      12492757,            72,     389135233,      76224940,           190,     284111465,      39323196,           125
3731,      26754483,       2941633,            12,     184274381,      12499418,            76,     389357133,      76268459,           195,     284271886,      39345696,           129
3732,      26768905,       2943248,            13,     184378556,      12506095,            74,     389579105,      76311994,           199,     284432360,      39368216,           129
3733,      26783332,       2944864,            12,     184482837,      12512856,            77,     389801133,      76355542,           187,     284592884,      39390743,           125
3734,      26797764,       2946481,            11,     184586992,      12519556,            72,     390023243,      76399104,           187,     284753442,      39413268,           125
3735,      26812199,       2948098,            14,     184691296,      12526249,            73,     390245400,      76442676,           187,     284914039,      39435787,           124
3736,      26826637,       2949715,            11,     184795594,      12532939,            72,     390467604,      76486253,           186,     285074693,      39458329,           123
3737,      26841078,       2951332,            11,     184899848,      12539662,            71,     390689866,      76529841,           191,     285235402,      39480880,           126
3738,      26855522,       2952949,            11,     185004065,      12546316,            72,     390912212,      76573448,           194,     285396160,      39503429,           129
3739,      26869969,       2954566,            12,     185108492,      12553007,            76,     391134603,      76617062,           194,     285556982,      39526001,           135
3740,      26884419,       2956183,            12,     185212869,      12559655,            74,     391357087,      76660696,           190,     285717814,      39548576,           125
3741,      26898872,       2957800,            11,     185316998,      12566273,            71,     391579643,      76704343,           188,     285878683,      39571154,           125
3742,      26913328,       2959417,            11,     185421411,      12572911,            76,     391802245,      76748001,           187,     286039654,      39593743,           126
3743,      26927787,       2961034,            11,     185525887,      12579599,            72,     392024928,      76791676,           187,     286200603,      39616308,           125
3744,      26942249,       2962651,            11,     185630519,      12586346,            72,     392247702,      76835369,           192,     286361600,      39638886,           125
3745,      26956714,       2964268,            11,     185735096,      12593095,            71,     392470521,      76879070,           194,     286522647,      39661473,           130
3746,      26971182,       2965885,            13,     185839717,      12599831,            74,     392693419,      76922787,           195,     286683698,      39684042,           136
3747,      26985653,       2967502,            12,     185944337,      12606612,            78,     392916357,      76966514,           195,     286844810,      39706636,           129
3748,      27000127,       2969119,            12,     186049087,      12613426,            75,     393139374,      77010255,           195,     287005985,      39729227,           161
3749,      27014606,       2970737,            12,     186153839,      12620265,            83,     393362452,      77054007,           197,     287167215,      39751828,           126
3750,      27029090,       2972356,            11,     186258692,      12627071,            73,     393585582,      77097769,           187,     287328480,      39774439,           127
3751,      27043577,       2973975,            11,     186363539,      12633839,            74,     393808793,      77141547,           192,     287489808,      39797060,           125
3752,      27058067,       2975594,            11,     186468367,      12640586,            72,     394032074,      77185339,           189,     287651194,      39819704,           126
