            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
1,             1,             0,             2,             1,             0,            11,            10,             1,            27,             1,             0,             2
2,             5,             0,             1,            15,             2,            16,            32,             4,             4,            15,             1,             8
3,            12,             0,             0,            31,             4,             3,            63,             9,             3,            44,             3,             4
4,            27,             3,             2,            61,            12,             4,           105,            15,             3,            93,             8,            12
5,            47,             7,             1,           109,            23,             6,           161,            24,             4,           161,            15,             6
6,            79,            16,             1,           186,            40,             7,           243,            38,             6,           251,            25,             7
7,           125,            31,             2,           269,            58,            15,           337,            54,             6,           361,            37,             6
8,           186,            52,             3,           376,            77,            13,           446,            72,             6,           495,            53,            18
9,           254,            75,             3,           501,           100,             9,           574,            94,            12,           654,            73,             8
10,           337,           104,             4,           637,           125,             8,           733,           122,             8,           832,            94,            12
11,           423,           133,             3,           801,           156,            10,           919,           156,             8,          1035,           120,            10
12,           530,           171,             4,           980,           192,            10,          1119,           191,             9,          1266,           151,            15
13,           646,           212,             4,          1164,           218,            10,          1341,           231,            17,          1520,           185,            13
14,           775,           258,             4,          1386,           247,            14,          1581,           274,            11,          1801,           222,            13
15,           913,           307,             4,          1627,           290,            16,          1836,           320,            24,          2108,           265,            16
16,          1070,           364,             5,          1862,           327,            17,          2132,           374,             3,          2447,           313,            19
17,          1234,           423,             5,          2144,           376,            16,          2457,           434,             3,          2812,           365,            25
18,          1429,           496,             8,          2423,           427,            17,          2806,           498,             4,          3207,           423,            45
19,          1645,           578,             8,          2723,           469,            18,          3171,           565,             6,          3631,           485,            16
20,          1870,           663,             8,          3064,           519,            18,          3570,           639,             4,          4077,           549,            18
21,          2118,           758,             8,          3442,           574,            19,          3984,           715,             4,          4554,           618,            20
22,          2369,           853,             9,          3829,           629,            16,          4443,           801,             4,          5054,           692,            19
23,          2627,           950,             9,          4247,           692,            29,          4919,           889,             5,          5575,           767,            21
24,          2906,          1056,             9,          4707,           767,            35,          5430,           984,             4,          6136,           851,            13
25,          3228,          1182,            10,          5145,           826,            15,          5969,          1085,             4,          6725,           939,            13
26,          3575,          1319,            12,          5616,           892,            23,          6539,          1191,             6,          7345,          1033,            13
27,          3957,          1472,            12,          6120,           969,            18,          7136,          1303,             5,          7993,          1130,            16
28,          4352,          1630,            13,          6682,          1051,            31,          7768,          1422,            12,          8671,          1232,            15
29,          4762,          1794,            15,          7221,          1125,            18,          8413,          1543,             5,          9377,          1337,            15
30,          5217,          1979,            15,          7791,          1208,            26,          9085,          1669,             5,         10120,          1453,            16
31,          5734,          2194,            16,          8403,          1290,            26,          9779,          1799,             5,         10885,          1569,            23
32,          6306,          2435,            19,          9012,          1388,            22,         10507,          1935,             6,         11688,          1693,             4
33,          6931,          2701,            21,          9651,          1484,            40,         11244,          2070,             6,         12522,          1822,             4
34,          7605,          2990,            22,         10371,          1577,            20,         12039,          2218,             6,         13380,          1952,             4
35,          8336,          3306,            24,         11050,          1675,            34,         12854,          2369,             8,         14270,          2088,             4
36,          9138,          3656,            27,         11755,          1779,             4,         13697,          2526,             7,         15202,          2234,             9
37,          9973,          4021,            27,         12435,          1883,             4,         14582,          2692,             6,         16167,          2387,             6
38,         10877,          4419,            30,         13179,          1996,             4,         15491,          2861,             7,         17162,          2543,             6
39,         11859,          4855,            32,         13953,          2106,             6,         16428,          3036,             8,         18183,          2701,             5
40,         12898,          5318,            34,         14770,          2236,             4,         17390,          3214,             7,         19233,          2864,             5
41,         13968,          5795,            35,         15561,          2352,             4,         18383,          3398,             7,         20310,          3030,             6
42,         15043,          6273,            35,         16383,          2459,             4,         19402,          3587,             8,         21434,          3207,            45
43,         16129,          6755,            35,         17318,          2574,            58,         20454,          3782,            29,         22580,          3386,             5
44,         17240,          7248,            35,         18265,          2700,             4,         21546,          3984,             9,         23754,          3570,             6
45,         18441,          7785,            37,         19231,          2837,             4,         22669,          4192,             9,         24970,          3763,             4
46,         19729,          8364,            39,         20236,          2965,             5,         23827,          4406,             8,         26208,          3959,             6
47,         21048,          8957,            38,         21226,          3116,             4,         25005,          4624,             8,         27466,          4154,             6
48,         22406,          9568,            40,         22245,          3275,             7,         26213,          4848,             9,         28777,          4362,             7
49,         23853,         10222,            47,         23317,          3425,             5,         27442,          5075,             8,         30124,          4577,             7
50,         25355,         10902,            48,         24388,          3576,             6,         28707,          5308,             8,         31503,          4799,             7
51,         26918,         11611,            50,         25460,          3726,             8,         29990,          5544,             8,         32916,          5026,             5
52,         28584,         12370,            53,         26611,          3883,             5,         31315,          5788,            14,         34366,          5260,             8
53,         30353,         13179,            56,         27757,          4038,             7,         32662,          6036,             9,         35848,          5499,             6
54,         32223,         14037,            60,         29010,          4195,             5,         34057,          6295,             9,         37363,          5742,             7
55,         34138,         14916,            56,         30241,          4352,             5,         35484,          6561,            10,         38897,          5987,             7
56,         36146,         15840,            58,         31497,          4521,             5,         36926,          6826,            10,         40481,          6244,             6
57,         38261,         16816,            61,         32856,          4692,             6,         38410,          7101,            10,         42099,          6507,             7
58,         40397,         17801,            67,         34253,          4884,             8,         39924,          7381,            11,         43746,          6773,            11
59,         42644,         18840,            70,         35574,          5075,             7,         41484,          7671,            11,         45424,          7044,             9
60,         44978,         19921,            73,         36914,          5274,             6,         43083,          7967,            11,         47136,          7325,             7
61,         47369,         21029,            72,         38324,          5476,             7,         44696,          8264,            10,         48886,          7613,             7
62,         49833,         22172,            75,         39781,          5644,             6,         46356,          8572,            11,         50661,          7902,             8
63,         52334,         23332,            77,         41196,          5839,             8,         48046,          8885,            11,         52476,          8200,             9
64,         54874,         24510,            76,         42721,          6041,            28,         49799,          9212,            12,         54324,          8502,             9
65,         57531,         25745,            96,         44269,          6246,            11,         51560,          9540,            17,         56210,          8811,            15
66,         60303,         27036,            90,         45776,          6472,            12,         53357,          9874,            17,         58136,          9128,            16
67,         63102,         28339,            96,         47354,          6681,            13,         55190,         10216,            29,         60092,          9450,            11
68,         65992,         29686,            88,         48924,          6895,             9,         57042,         10558,            12,         62086,          9779,             9
69,         68927,         31054,            88,         50527,          7098,             9,         58940,         10911,            12,         64112,         10112,             9
70,         72001,         32490,            93,         52172,          7325,             8,         60909,         11280,            12,         66185,         10456,             9
71,         75136,         33955,            96,         53878,          7530,             9,         62881,         11648,            12,         68289,         10803,             9
72,         78294,         35430,           101,         55641,          7748,            11,         64885,         12020,            18,         70434,         11161,            16
73,         81547,         36951,           116,         57390,          7986,             8,         66954,         12408,            20,         72619,         11526,            10
74,         84887,         38514,           109,         59164,          8206,            14,         69050,         12800,            13,         74835,         11897,            23
75,         88366,         40145,           110,         60901,          8449,            18,         71157,         13194,            13,         77090,         12274,            10
76,         91968,         41836,           116,         62730,          8678,             9,         73294,         13592,            13,         79396,         12662,            10
77,         95663,         43572,           117,         64731,          8913,             9,         75450,         13993,            13,         81723,         13051,             9
78,         99367,         45311,           120,         66835,          9148,             8,         77661,         14405,            14,         84082,         13447,            18
79,        103126,         47076,           120,         68776,          9434,             8,         79942,         14835,            13,         86463,         13842,            10
80,        106970,         48882,           125,         70762,          9713,             9,         82236,         15264,            14,         88898,         14251,            17
81,        110871,         50715,           133,         72729,          9980,             9,         84558,         15698,            13,         91372,         14668,            14
82,        114825,         52573,           129,         74710,         10238,            12,         86922,         16141,            14,         93870,         15085,            11
83,        118786,         54433,           134,         76827,         10501,            13,         89330,         16594,            20,         96387,         15502,            18
84,        122836,         56336,           151,         79020,         10768,            16,         91770,         17052,            22,         98973,         15939,            19
85,        127027,         58308,           163,         81284,         11019,            18,         94247,         17517,            22,        101592,         16381,            18
86,        131225,         60282,           156,         83546,         11297,            17,         96762,         17990,            23,        104221,         16821,            19
87,        135496,         62291,            98,         85641,         11555,            17,         99301,         18464,            18,        106899,         17270,            21
88,        139848,         64339,            71,         87750,         11830,            22,        101901,         18951,            12,        109615,         17728,            25
89,        144325,         66448,            55,         90085,         12121,            14,        104527,         19443,            12,        112369,         18194,            15
90,        148961,         68635,            17,         92423,         12419,            10,        107199,         19945,            10,        115160,         18668,            12
91,        153704,         70874,            17,         94711,         12715,            10,        109889,         20449,            10,        117996,         19150,            13
92,        158468,         73122,            17,         97053,         13021,            11,        112659,         20972,             9,        120848,         19633,            14
93,        163367,         75436,            18,         99425,         13311,            10,        115421,         21491,             9,        123743,         20124,            13
94,        168317,         77774,            18,        101900,         13618,            10,        118205,         22012,            10,        126662,         20616,            15
95,        173326,         80140,            18,        104239,         13925,            12,        121026,         22541,            10,        129621,         21115,            14
96,        178512,         82593,            19,        106756,         14243,            11,        123935,         23089,            10,        132636,         21628,            13
97,        183875,         85133,            19,        109257,         14553,            10,        126874,         23642,            13,        135686,         22147,            20
98,        189369,         87737,            26,        111689,         14866,            16,        129829,         24197,            11,        138778,         22676,            15
99,        194894,         90355,            20,        114296,         15176,            25,        132800,         24754,            10,        141892,         23207,            14
100,        200594,         93059,            20,        116868,         15497,            12,        135842,         25327,            11,        145067,         23753,            14
101,        206323,         95776,            21,        119379,         15832,            14,        138915,         25905,            16,        148272,         24304,            21
102,        212171,         98551,            21,        121926,         16170,            11,        142062,         26499,            11,        151499,         24853,            14
103,        218088,        101359,            21,        125024,         16508,            12,        145225,         27096,            11,        154777,         25414,            14
104,        224156,        104241,            22,        127991,         16848,            14,        148423,         27699,            28,        158100,         25987,            21
105,        230433,        107226,            35,        130805,         17177,            11,        151664,         28311,             7,        161456,         26565,            15
106,        236765,        110237,            23,        133767,         17527,            12,        154957,         28935,             6,        164844,         27148,            14
107,        243276,        113336,            24,        136599,         17884,            13,        158237,         29553,             6,        168280,         27742,            32
108,        249866,        116473,            24,        139470,         18234,            13,        161584,         30183,             6,        171744,         28338,            13
109,        256647,        119704,            24,        142191,         18599,            12,        164941,         30817,             5,        175246,         28939,            13
110,        263507,        122973,            25,        144966,         18957,            12,        168313,         31453,             6,        178777,         29547,            14
111,        270538,        126326,            25,        147867,         19327,            12,        171737,         32099,             6,        182348,         30161,            13
112,        277793,        129790,            26,        150958,         19683,            12,        175195,         32752,             6,        185983,         30791,            13
113,        285119,        133288,            26,        153975,         20038,            22,        178725,         33419,             6,        189656,         31428,            14
114,        292492,        136808,            28,        157042,         20399,            15,        182301,         34096,             6,        193349,         32068,            14
115,        300090,        140439,            28,        160132,         20776,            14,        185926,         34784,             6,        197091,         32719,            13
116,        307815,        144132,            27,        163204,         21162,            12,        189581,         35476,             6,        200841,         33365,            13
117,        315579,        147843,            28,        166352,         21515,            13,        193289,         36180,             6,        204633,         34018,            15
118,        323528,        151645,            28,        169757,         21883,            15,        197006,         36883,             6,        208458,         34678,            14
119,        331566,        155490,            29,        172950,         22287,            13,        200746,         37591,             6,        212321,         35341,            13
120,        339844,        159454,            30,        176283,         22697,            15,        204521,         38306,             6,        216236,         36022,            15
121,        348179,        163445,            30,        179555,         23106,            15,        208331,         39026,            14,        220185,         36709,            14
122,        356745,        167550,            30,        182725,         23501,            13,        212198,         39758,             7,        224168,         37401,            15
123,        365484,        171740,            32,        185882,         23912,            15,        216094,         40497,             8,        228192,         38103,            19
124,        374258,        175946,            31,        189112,         24330,            13,        220043,         41246,             8,        232257,         38809,            16
125,        383095,        180182,            32,        192657,         24749,            15,        224026,         42001,            17,        236349,         39519,            16
126,        392155,        184528,            40,        196149,         25175,            22,        228038,         42760,             5,        240485,         40240,            16
127,        401418,        188974,            34,        199678,         25604,            16,        232088,         43525,             4,        244660,         40968,            17
128,        410800,        193478,            36,        203187,         26018,            15,        236168,         44296,             5,        248879,         41703,            16
129,        420345,        198062,            34,        206660,         26444,            16,        240340,         45089,             5,        253138,         42445,            15
130,        430131,        202765,            35,        210240,         26873,            15,        244522,         45879,             4,        257429,         43190,            16
131,        440156,        207586,            42,        213972,         27325,            14,        248760,         46683,             4,        261763,         43944,            15
132,        450312,        212471,            37,        217498,         27763,            15,        253016,         47489,             5,        266151,         44712,            16
133,        460627,        217434,            39,        221202,         28216,            16,        257298,         48299,             5,        270578,         45486,            22
134,        471187,        222518,            38,        224888,         28664,            17,        261601,         49110,             7,        275030,         46263,            18
135,        481850,        227652,            39,        228525,         29107,            16,        265962,         49933,             6,        279522,         47049,            17
136,        492558,        232807,            39,        232175,         29533,            15,        270345,         50759,             5,        284045,         47838,            17
137,        503365,        238010,            39,        235833,         29980,            16,        274762,         51593,             5,        288605,         48633,            19
138,        514349,        243300,            47,        239649,         30450,            20,        279257,         52444,             8,        293213,         49436,            21
139,        525338,        248591,            41,        243704,         30909,            18,        283788,         53300,             5,        297858,         50248,            18
140,        536472,        253953,            40,        247682,         31368,            17,        288383,         54169,             5,        302567,         51076,            17
141,        547773,        259397,            41,        251485,         31820,            16,        293002,         55042,             5,        307322,         51914,            17
142,        559351,        264978,            42,        255618,         32305,            18,        297673,         55926,             5,        312100,         52754,            18
143,        571198,        270692,            43,        259648,         32779,            18,        302392,         56819,             5,        316930,         53602,            19
144,        583140,        276452,            43,        263765,         33258,            17,        307164,         57724,             5,        321791,         54460,            19
145,        595279,        282309,            44,        267667,         33741,            17,        311963,         58632,             7,        326693,         55325,            20
146,        607685,        288298,            44,        271681,         34247,            18,        316836,         59556,             5,        331651,         56200,            19
147,        620308,        294394,            46,        275785,         34760,            16,        321690,         60475,             5,        336645,         57081,            17
148,        633074,        300560,           130,        279928,         35245,            17,        326637,         61412,             7,        341666,         57969,            24
149,        646083,        306846,            47,        284079,         35757,            19,        331560,         62343,             7,        346724,         58864,            11
150,        659153,        313161,           123,        288272,         36283,            25,        336553,         63289,             6,        351833,         59767,            12
151,        672506,        319616,            49,        292456,         36796,            18,        341564,         64235,             6,        356991,         60682,            12
152,        685940,        326110,           119,        296647,         37325,            19,        346631,         65194,             6,        362204,         61607,            11
153,        699607,        332719,            49,        300782,         37856,            18,        351765,         66168,             6,        367455,         62538,            11
154,        713341,        339360,           109,        305002,         38377,            22,        356910,         67142,             8,        372725,         63469,            13
155,        727166,        346045,            50,        309467,         38905,            20,        362131,         68132,             7,        378023,         64404,            24
156,        741194,        352830,            92,        314100,         39421,            20,        367372,         69124,             6,        383378,         65355,            13
157,        755243,        359624,            51,        318587,         39948,            17,        372659,         70125,             6,        388767,         66311,             9
158,        769477,        366509,           129,        322922,         40489,            21,        377989,         71133,             6,        394180,         67264,            15
159,        783804,        373439,           116,        327332,         41036,            18,        383354,         72150,             6,        399632,         68227,            10
160,        798300,        380452,            52,        331970,         41584,            23,        388757,         73174,             7,        405155,         69209,            12
161,        812837,        387484,            55,        336611,         42132,            20,        394197,         74205,             6,        410715,         70197,            13
162,        827431,        394543,            95,        341205,         42684,            30,        399674,         75241,             9,        416309,         71191,            17
163,        842342,        401759,            79,        346054,         43233,            20,        405177,         76284,            10,        421943,         72192,            13
164,        857414,        409054,            54,        350852,         43811,            19,        410756,         77344,             7,        427596,         73188,            12
165,        872623,        416416,           146,        356356,         44354,            19,        416317,         78395,             7,        433286,         74190,            11
166,        887859,        423790,           125,        361375,         44912,             8,        421910,         79452,             6,        439006,         75198,            11
167,        903364,        431297,           101,        366227,         45481,             7,        427575,         80524,             7,        444773,         76216,            11
168,        918952,        438844,            94,        371193,         46085,            11,        433300,         81608,             8,        450628,         77263,            14
169,        934867,        446553,            57,        376235,         46648,             8,        439062,         82702,             8,        456529,         78318,            10
170,        951085,        454412,           105,        381088,         47249,            10,        444861,         83800,             8,        462460,         79376,            13
171,        967382,        462309,           126,        386432,         47832,             8,        450687,         84902,             7,        468418,         80436,            14
172,        984022,        470376,           144,        391979,         48411,            13,        456568,         86014,             8,        474392,         81497,            13
173,       1000757,        478489,           161,        396989,         49002,             8,        462534,         87146,             8,        480411,         82565,            14
174,       1017507,        486608,           124,        401923,         49596,             8,        468544,         88286,             6,        486482,         83647,            13
175,       1034538,        494866,           128,        407019,         50165,             8,        474558,         89423,             7,        492597,         84736,            13
176,       1051802,        503239,           159,        412235,         50749,            13,        480645,         90577,             7,        498754,         85833,            13
177,       1069329,        511742,           157,        417369,         51339,             9,        486720,         91727,             8,        504943,         86934,            14
178,       1086947,        520289,           412,        422564,         51939,            10,        492799,         92873,             8,        511201,         88055,            16
179,       1104894,        528999,           154,        427934,         52536,             8,        498955,         94040,             8,        517498,         89184,            14
180,       1122944,        537759,             8,        433284,         53150,            10,        505177,         95221,             7,        523805,         90313,            13
181,       1141195,        546618,             6,        438681,         53806,             9,        511443,         96411,             7,        530165,         91452,            14
182,       1159545,        555525,             6,        443925,         54434,             8,        517755,         97609,             7,        536593,         92608,            13
183,       1178056,        564511,             6,        449564,         55039,             8,        524083,         98810,             7,        543035,         93758,            12
184,       1196824,        573624,             6,        455011,         55640,             8,        530448,        100016,             7,        549520,         94920,            16
185,       1215917,        582898,             6,        460305,         56289,             8,        536877,        101237,             7,        556050,         96091,            13
186,       1235323,        592327,             6,        465900,         56944,             8,        543361,        102467,             7,        562588,         97259,            13
187,       1255000,        601890,             6,        471479,         57581,             8,        549878,        103707,             7,        569175,         98437,            14
188,       1274854,        611540,             6,        476942,         58250,             8,        556425,        104946,             7,        575802,         99621,            14
189,       1294769,        621219,             6,        482297,         58890,             8,        562909,        106168,             7,        582464,        100811,            13
190,       1314987,        631048,             6,        487689,         59567,             8,        569506,        107416,             7,        589178,        102014,            16
191,       1335522,        641034,             7,        493286,         60212,             8,        576186,        108683,             7,        595931,        103222,            15
192,       1356352,        651166,             6,        499037,         60879,            10,        582934,        109964,             7,        602728,        104438,            16
193,       1377257,        661334,             6,        504938,         61559,            14,        589688,        111245,            10,        609567,        105662,            16
194,       1398527,        671683,             8,        511051,         62223,             9,        596485,        112535,             9,        616475,        106907,            18
195,       1419954,        682109,             7,        516611,         62900,            10,        603339,        113838,             8,        623437,        108164,            21
196,       1441754,        692720,             7,        522675,         63596,            11,        610174,        115132,             8,        630419,        109420,            16
197,       1463569,        703337,             7,        528393,         64279,             9,        617104,        116450,             7,        637442,        110686,            10
198,       1485599,        714060,             7,        534528,         64980,             8,        624060,        117770,            12,        644509,        111961,            16
199,       1508014,        724974,             7,        540542,         65661,             9,        631065,        119101,             8,        651603,        113239,            20
200,       1530598,        735971,             7,        546297,         66345,             8,        638097,        120435,             8,        658758,        114532,            17
201,       1553397,        747074,             7,        552625,         67072,            12,        645215,        121789,             8,        665956,        115833,            23
202,       1576593,        758374,             7,        558666,         67781,            14,        652336,        123140,             8,        673192,        117145,            26
203,       1600144,        769850,             8,        564675,         68485,            11,        659508,        124503,             8,        680465,        118461,            20
204,       1623902,        781428,             7,        570723,         69204,            11,        666735,        125876,             8,        687763,        119775,            18
205,       1647821,        793085,             7,        576748,         69917,            10,        674049,        127270,             8,        695108,        121099,            15
206,       1672111,        804926,             8,        583065,         70606,             9,        681364,        128658,             8,        702514,        122439,            16
207,       1696806,        816968,             8,        589191,         71325,             8,        688755,        130063,             9,        709938,        123775,            16
208,       1721884,        829200,             8,        595416,         72063,             9,        696159,        131470,             9,        717430,        125132,            16
209,       1747333,        841616,             8,        601884,         72810,            14,        703600,        132883,             9,        724964,        126497,            14
210,       1772809,        854044,             8,        608831,         73536,             9,        711117,        134312,             8,        732528,        127867,            15
211,       1798650,        866653,             8,        615404,         74271,            10,        718665,        135746,             9,        740140,        129250,            14
212,       1824842,        879436,             8,        621677,         75007,             9,        726279,        137194,             9,        747779,        130634,            15
213,       1851233,        892317,             8,        628739,         75754,            10,        733906,        138644,             9,        755459,        132025,            16
214,       1878052,        905411,             8,        634998,         76525,             9,        741615,        140111,             8,        763210,        133434,            15
215,       1905234,        918685,             9,        641164,         77265,             9,        749389,        141592,             9,        770988,        134845,            13
216,       1932461,        931980,             9,        647482,         78017,            10,        757197,        143080,             8,        778791,        136259,            15
217,       1959727,        945293,             9,        653856,         78772,             9,        765003,        144564,             8,        786635,        137681,            12
218,       1987270,        958743,             9,        660584,         79515,             9,        772829,        146051,             8,        794539,        139114,            17
219,       2015154,        972362,             9,        667425,         80294,            11,        780703,        147549,             9,        802472,        140548,            14
220,       2043341,        986131,             9,        674210,         81079,            10,        788630,        149055,             9,        810448,        141996,            18
221,       2071563,        999916,             9,        680899,         81821,            11,        796609,        150573,            12,        818473,        143455,            15
222,       2100166,       1013890,             9,        687412,         82616,            10,        804665,        152108,             9,        826525,        144914,            17
223,       2129060,       1028008,             9,        694600,         83369,            12,        812724,        153641,             9,        834623,        146381,            20
224,       2158193,       1042244,             9,        701719,         84118,            10,        820832,        155184,             9,        842780,        147867,            18
225,       2187539,       1056585,             9,        708460,         84902,            10,        828927,        156722,             9,        850977,        149361,            15
226,       2216932,       1070948,             9,        715590,         85699,            11,        837097,        158274,             9,        859225,        150862,            21
227,       2246542,       1085418,             9,        722792,         86486,            10,        845335,        159845,             9,        867512,        152368,            25
228,       2276529,       1100075,             9,        729698,         87283,            11,        853616,        161423,             9,        875823,        153879,            22
229,       2306959,       1114952,            10,        737385,         88044,            10,        861970,        163017,            10,        884175,        155398,            18
230,       2337410,       1129838,            10,        745372,         88834,            11,        870350,        164612,             9,        892575,        156930,            20
231,       2368062,       1144823,            11,        752217,         89641,            13,        878803,        166222,             9,        901042,        158478,            20
232,       2398865,       1159882,            10,        759161,         90448,            11,        887293,        167842,             9,        909495,        160013,            23
233,       2429777,       1174994,            14,        766877,         91278,            14,        895756,        169453,            10,        917993,        161557,            20
234,       2460906,       1190213,            16,        774127,         92104,            16,        904352,        171093,            13,        926565,        163120,            19
235,       2492212,       1205519,            10,        781232,         92949,            11,        912915,        172722,             9,        935162,        164685,            19
236,       2523601,       1220865,            11,        788474,         93798,            13,        921564,        174369,            10,        943776,        166250,            23
237,       2555367,       1236398,            12,        795672,         94613,            12,        930227,        176019,            10,        952447,        167829,            19
238,       2587236,       1251981,            11,        803077,         95427,            10,        938926,        177675,            10,        961156,        169410,            19
239,       2619583,       1267802,            10,        810965,         96285,            11,        947707,        179349,            10,        969922,        171001,            17
240,       2652273,       1283793,            10,        819220,         97156,            13,        956474,        181017,             9,        978735,        172612,            22
241,       2685404,       1300003,            17,        826730,         97995,            11,        965350,        182708,            10,        987591,        174230,            21
242,       2718712,       1316300,            12,        834098,         98843,            13,        974237,        184400,            10,        996497,        175860,            23
243,       2752195,       1332683,            10,        841758,         99664,            13,        983177,        186104,            10,       1005428,        177494,            26
244,       2785899,       1349175,            11,        849346,        100503,            12,        992152,        187813,            11,       1014399,        179134,            19
245,       2819770,       1365749,            11,        857081,        101355,            15,       1001171,        189532,            10,       1023418,        180785,            17
