            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
8707,  109604735444,   54745558063,         12811,    1872830097,     170866932,           497,    2244359239,     436060106,           617,    2067199013,     421383669,           696
8708,  109642525703,   54764440137,         13060,    1873298334,     170907340,           542,    2244905791,     436166462,           613,    2067698641,     421486654,           736
8709,  109680322519,   54783325488,         13037,    1873781987,     170947267,           499,    2245452405,     436272835,           610,    2068198334,     421589671,           718
8710,  109718122370,   54802212355,         13283,    1874234803,     170987802,           513,    2245998968,     436379198,           619,    2068698068,     421692707,           741
8711,  109755930542,   54821103381,         13512,    1874697121,     171028693,           497,    2246545593,     436485566,           591,    2069197878,     421795784,           695
8712,  109793745557,   54839997827,         13262,    1875158637,     171069507,           515,    2247092453,     436592000,           621,    2069697716,     421898825,           727
8713,  109831560591,   54858892281,         13212,    1875607395,     171110337,           483,    2247639416,     436698453,           588,    2070197630,     422001891,           696
8714,  109869392182,   54877795012,         13013,    1876060665,     171150778,           509,    2248186385,     436804883,           588,    2070697672,     422104992,           699
8715,  109907236534,   54896704122,         12802,    1876535550,     171191088,           507,    2248733176,     436911292,           595,    2071197735,     422208082,           703
8716,  109945092833,   54915619204,         13403,    1876990120,     171231970,           526,    2249280092,     437017716,           618,    2071697998,     422311232,           726
8717,  109982962657,   54934541047,         13677,    1877445562,     171272662,           518,    2249827169,     437124184,           626,    2072198322,     422414397,           735
8718,  110020847388,   54953470342,         12990,    1877902608,     171313169,           515,    2250374411,     437230677,           615,    2072698684,     422517573,           691
8719,  110058734722,   54972400937,         13003,    1878352813,     171354133,           520,    2250921732,     437337187,           595,    2073199076,     422620760,           706
8720,  110096633591,   54991337298,         12867,    1878802359,     171395027,           489,    2251468939,     437443669,           610,    2073699560,     422723953,           725
8721,  110134548811,   55010281833,         12974,    1879251953,     171435802,           492,    2252016550,     437550230,           590,    2074200083,     422827151,           697
8722,  110172472500,   55029230601,         12870,    1879709079,     171476638,           516,    2252564090,     437656799,           615,    2074700789,     422930427,           694
8723,  110210398888,   55048180717,         12862,    1880156434,     171517692,           491,    2253111527,     437763325,           591,    2075201504,     423033691,           694
8724,  110248337487,   55067136937,         12977,    1880600801,     171558672,           503,    2253659191,     437869919,           614,    2075702247,     423136970,           711
8725,  110286278199,   55086094212,         13180,    1881073299,     171599384,           521,    2254206570,     437976426,           620,    2076203019,     423240258,           757
8726,  110324231626,   55105057843,         13276,    1881546568,     171639941,           518,    2254754087,     438082967,           621,    2076703897,     423343527,           721
8727,  110362197892,   55124027892,         13027,    1882015257,     171680595,           514,    2255302187,     438189652,           614,    2077204758,     423446810,           726
8728,  110400181543,   55143006632,         13499,    1882480221,     171721136,           503,    2255850161,     438296293,           614,    2077705717,     423550126,           702
8729,  110438172583,   55161989065,         12964,    1882937178,     171762230,           499,    2256398004,     438402889,           588,    2078206719,     423653450,           715
8730,  110476175044,   55180977207,         13304,    1883397283,     171802846,           492,    2256946149,     438509562,           600,    2078707736,     423756806,           709
8731,  110514190968,   55199972079,         12914,    1883855530,     171843579,           493,    2257494266,     438616228,           617,    2079208868,     423860167,           712
8732,  110552223973,   55218975490,         13760,    1884305048,     171884379,           515,    2258042514,     438722922,           622,    2079710016,     423963492,           738
