"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.040547917E-1,-3.270698547E-1,9.804311829E0,-1.320254517E-1,9.810654201E0
6.140847917E-1,-3.315605164E-1,9.807904358E0,-1.583706665E-1,9.814784844E0
6.241157917E-1,-3.246748352E-1,9.796827393E0,-1.755848694E-1,9.803778392E0
6.341457917E-1,-3.197351074E-1,9.804910583E0,-1.419049072E-1,9.811148714E0
6.441757917E-1,-3.140469360E-1,9.796378326E0,-1.079255676E-1,9.802004985E0
6.542057917E-1,-3.077600098E-1,9.794132996E0,-8.771759033E-2,9.799359761E0
6.642357917E-1,-3.088078308E-1,9.796977081E0,-9.280700684E-2,9.802282150E0
6.742657917E-1,-3.186872864E-1,9.809850311E0,-1.193019104E-1,9.815750489E0
6.842957917E-1,-3.251239014E-1,9.818981323E0,-1.356179810E-1,9.825298571E0
6.943257917E-1,-3.192860413E-1,9.816735992E0,-1.556762695E-1,9.823160602E0
7.043557917E-1,-3.155438232E-1,9.811496887E0,-1.457968140E-1,9.817652254E0
7.143857917E-1,-3.179388428E-1,9.798623657E0,-1.411564636E-1,9.804796573E0
7.244157917E-1,-3.192860413E-1,9.789941711E0,-1.085243225E-1,9.795748048E0
7.344457917E-1,-3.146456909E-1,9.794881439E0,-1.091230774E-1,9.800541422E0
7.444757917E-1,-3.165916443E-1,9.800270233E0,-1.146615601E-1,9.806052936E0
7.545057917E-1,-3.140469360E-1,9.804611206E0,-1.151106262E-1,9.810314818E0
7.645357917E-1,-3.245251465E-1,9.823172607E0,-1.395098877E-1,9.829521843E0
7.745657917E-1,-3.209326172E-1,9.809401245E0,-1.651066589E-1,9.816038444E0
7.845957917E-1,-3.165916443E-1,9.802365875E0,-1.911524963E-1,9.809339748E0
7.946257917E-1,-3.121009827E-1,9.785301361E0,-1.733395386E-1,9.791811699E0
8.046557917E-1,-3.194357300E-1,9.768236847E0,-1.405577087E-1,9.774469129E0
8.146857917E-1,-3.210823059E-1,9.779014435E0,-1.065783691E-1,9.784864645E0
8.247157917E-1,-3.186872864E-1,9.805808716E0,-7.229965210E-2,9.811252387E0
8.347457917E-1,-3.055146790E-1,9.829758911E0,-7.304809570E-2,9.834776840E0
8.447757917E-1,-3.058140564E-1,9.829758911E0,-1.020877075E-1,9.835044707E0
8.548057917E-1,-3.165916443E-1,9.813592529E0,-1.266366577E-1,9.819514522E0
8.648367917E-1,-3.186872864E-1,9.782606964E0,-1.360670471E-1,9.788742250E0
8.748667917E-1,-3.198847961E-1,9.771230621E0,-1.442999268E-1,9.777530190E0
8.848967917E-1,-3.263214111E-1,9.785301361E0,-1.489402771E-1,9.791873753E0
8.949267917E-1,-3.242257690E-1,9.807305603E0,-1.239422607E-1,9.813446246E0
9.049567917E-1,-3.318598938E-1,9.817185059E0,-1.175056458E-1,9.823495358E0
9.149867917E-1,-3.382965088E-1,9.819430389E0,-9.520202637E-2,9.825717334E0
9.250167917E-1,-3.300636292E-1,9.812245331E0,-8.232879639E-2,9.818140275E0
9.350467917E-1,-3.185375977E-1,9.789941711E0,-8.652008057E-2,9.795504614E0
9.450767917E-1,-2.960842896E-1,9.788744202E0,-1.071771240E-1,9.793807528E0
9.551067917E-1,-3.040177917E-1,9.780361633E0,-1.374142456E-1,9.786050438E0
9.651367917E-1,-2.974314880E-1,9.795629883E0,-1.534309387E-1,9.801345384E0
9.751667917E-1,-3.104544067E-1,9.805509338E0,-1.640588379E-1,9.811794465E0
9.851967917E-1,-3.103047180E-1,9.815837860E0,-1.601669312E-1,9.822047412E0
9.952267917E-1,-3.064128113E-1,9.818831635E0,-1.273851013E-1,9.824437411E0
1.005256792E0,-3.134481812E-1,9.818382568E0,-1.068777466E-1,9.823966046E0
1.015286792E0,-3.141966248E-1,9.799372101E0,-8.996292114E-2,9.804820570E0
1.025316792E0,-3.113525391E-1,9.793534241E0,-9.774673462E-2,9.798969729E0
1.035346792E0,-3.065625000E-1,9.799821167E0,-1.019380188E-1,9.805144916E0
1.045376792E0,-3.141966248E-1,9.799521790E0,-1.089733887E-1,9.805163029E0
1.055406792E0,-3.209326172E-1,9.802665253E0,-1.257385254E-1,9.808723361E0
1.065436792E0,-3.276686096E-1,9.800868988E0,-1.395098877E-1,9.807337184E0
