Source: IEA. Licence: CC BY 4.0This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Types,Bioenergy,Fossil fuels,Hydrogen,Fossil fuel power,Nuclear power,Renewable power
2021,17.5,18.8,1.6,11.2,4.0,1.0
2030,22.9,18.6,1.9,10.3,4.8,2.7
