"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.727172538887761E9,"2024-09-24 12:08:58.888 UTC+02:00"
"PAUSE",3.665001816666336E1,1.727172575537745E9,"2024-09-24 12:09:35.538 UTC+02:00"
